,,exchange,pair,price,rank,updated,volume_24h,volume_percent
Bitcoin Markets,0,Binance,BTC/USDT,8033.89,1,Recently,287718000,5.24
Bitcoin Markets,1,OKEx,BTC/USDT,8028.89,2,Recently,250615000,4.5600000000000005
Bitcoin Markets,2,Bitfinex,BTC/USD,8026.0,3,Recently,246432000,4.49
Bitcoin Markets,3,Huobi,BTC/USDT,8048.49,4,Recently,191217000,3.48
Bitcoin Markets,4,bitFlyer,BTC/JPY,8013.75,5,Recently,156534000,2.85
Bitcoin Markets,5,Upbit,BTC/KRW,7989.54,6,Recently,127456000,2.32
Bitcoin Markets,6,Binance,ADA/BTC,7999.51,7,Recently,120319000,2.19
Bitcoin Markets,7,Binance,XVG/BTC,7997.33,8,Recently,116010000,2.11
Bitcoin Markets,8,GDAX,BTC/USD,8016.91,9,Recently,103412000,1.88
Bitcoin Markets,9,Upbit,XVG/BTC,8030.49,10,Recently,82316500,1.5
Bitcoin Markets,10,Bitstamp,BTC/USD,8022.26,11,Recently,80972600,1.47
Bitcoin Markets,11,Bithumb,BTC/KRW,7994.21,12,Recently,76020500,1.38
Bitcoin Markets,12,BTCC,BTC/USD,8020.0,13,Recently,64320400,1.17
Bitcoin Markets,13,Bittrex,XVG/BTC,7990.73,14,Recently,62803800,1.1400000000000001
Bitcoin Markets,14,OKEx,TRX/BTC,8055.66,15,Recently,55984000,1.02
Bitcoin Markets,15,Binance,ETH/BTC,8043.65,16,Recently,55381500,1.01
Bitcoin Markets,16,HitBTC,BTC/USDT,8244.4,17,Recently,54699400,1.0
Bitcoin Markets,17,Kraken,BTC/EUR,8012.61,18,Recently,54665900,1.0
Bitcoin Markets,18,OKEx,ETH/BTC,8023.1,19,Recently,52379500,0.9500000000000001
Bitcoin Markets,19,OOOBTC,ETH/BTC,8066.98,20,Recently,48262900,0.88
Bitcoin Markets,20,Kraken,BTC/USD,8018.1,21,Recently,44909300,0.8200000000000001
Bitcoin Markets,21,Lbank,VET/BTC,7973.23,22,Recently,44597700,0.81
Bitcoin Markets,22,Lbank,QTUM/BTC,8046.39,23,Recently,43305300,0.79
Bitcoin Markets,23,Simex,BTC/USD,7895.26,24,Recently,42010900,0.76
Bitcoin Markets,24,Binance,EOS/BTC,8064.56,25,Recently,40071100,0.73
Bitcoin Markets,25,ZB.COM,QTUM/BTC,8054.1,26,Recently,38930200,0.71
Bitcoin Markets,26,Binance,TRX/BTC,8055.66,27,Recently,38902600,0.71
Bitcoin Markets,27,HitBTC,BCH/BTC,8060.56,28,Recently,37706400,0.6900000000000001
Bitcoin Markets,28,Gemini,BTC/USD,8024.25,29,Recently,36861700,0.67
Bitcoin Markets,29,Binance,XRP/BTC,8044.67,30,Recently,35662700,0.65
Bitcoin Markets,30,EXX,ETH/BTC,8042.38,31,Recently,33256400,0.61
Bitcoin Markets,31,BTCBOX,BTC/JPY,8014.52,32,Recently,32825000,0.6000000000000001
Bitcoin Markets,32,Bittrex,ADA/BTC,8032.49,33,Recently,32315600,0.59
Bitcoin Markets,33,OKEx,EOS/BTC,8079.71,34,Recently,30415500,0.55
Bitcoin Markets,34,Binance,ICX/BTC,7795.03,35,Recently,30381200,0.55
